puma,homevalue_median_0812,homevalue_median_0812_moe,homevalue_median_0812_cv,homevalue_median_wnh_0812,homevalue_median_wnh_0812_moe,homevalue_median_wnh_0812_cv,homevalue_median_bnh_0812,homevalue_median_bnh_0812_moe,homevalue_median_bnh_0812_cv,homevalue_median_hsp_0812,homevalue_median_hsp_0812_moe,homevalue_median_hsp_0812_cv,homevalue_median_anh_0812,homevalue_median_anh_0812_moe,homevalue_median_anh_0812_cv,homevalue_median_1519,homevalue_median_1519_moe,homevalue_median_1519_cv,homevalue_median_wnh_1519,homevalue_median_wnh_1519_moe,homevalue_median_wnh_1519_cv,homevalue_median_bnh_1519,homevalue_median_bnh_1519_moe,homevalue_median_bnh_1519_cv,homevalue_median_hsp_1519,homevalue_median_hsp_1519_moe,homevalue_median_hsp_1519_cv,homevalue_median_anh_1519,homevalue_median_anh_1519_moe,homevalue_median_anh_1519_cv
03701,369286,30209.0,5.0,393482,42319.0,6.5,333639,111453.0,20.3,313382,54992.0,10.7,449686,201617.0,27.3,324325,30632,5.7,362947,41535,7.0,302068,112667,22.7,257961,41802,9.9,317981,148230,28.3
03702,448131,14426.0,2.0,433452,64816.0,9.1,442782,15683.0,2.2,461136,42999.0,5.7,484283,61419.0,7.7,443830,14291,2.0,455421,54143,7.2,441524,15177,2.1,467072,60353,7.9,424999,108464,15.5
03703,398511,26051.0,4.0,501747,18518.0,2.2,98743,22766.0,14.0,368798,44749.0,7.4,534810,112886.0,12.8,370258,29145,4.8,473872,21297,2.7,32603,3249,6.1,382990,52919,8.4,481775,184704,23.3
03704,500858,17904.0,2.2,523040,25327.0,2.9,477343,38346.0,4.9,450405,47306.0,6.4,532115,44785.0,5.1,472806,15574,2.0,498424,34866,4.3,452593,32170,4.3,453263,27769,3.7,500895,61751,7.5
03705,415124,42771.0,6.3,375023,117766.0,19.1,367185,61335.0,10.2,446079,53805.0,7.3,615379,568684.0,56.2,400816,37272,5.7,276723,254234,55.8,429715,48110,6.8,380776,47386,7.6,461627,388335,51.1
03706,260305,109969.0,25.7,207368,133427.0,39.1,208155,123795.0,36.2,203914,61477.0,18.3,448652,81678.0,11.1,224882,74729,20.2,237499,184461,47.2,157652,57029,22.0,221720,127760,35.0,473255,173455,22.3
03707,480376,53748.0,6.8,202790,638509.0,191.4,427757,122212.0,17.4,514183,64338.0,7.6,502149,,,437700,103807,14.4,510713,563287,67.0,482926,116563,14.7,389408,143950,22.5,435713,543060,75.8
03708,256716,45457.0,10.8,240344,73208.0,18.5,275787,69481.0,15.3,232260,99556.0,26.1,291279,190666.0,39.8,250718,71570,17.4,387680,194668,30.5,208579,65015,18.9,322377,156322,29.5,333332,371684,67.8
03709,406474,22056.0,3.3,385370,132171.0,20.8,395262,42029.0,6.5,409809,27651.0,4.1,447309,80635.0,11.0,420500,17701,2.6,430207,182674,25.8,353808,49215,8.5,435458,19039,2.7,414285,82035,12.0
03710,394975,52237.0,8.0,420883,138795.0,20.0,422896,133080.0,19.1,378431,56876.0,9.1,672590,177881.0,16.1,388176,41435,6.5,318749,316445,60.4,356249,116955,20.0,393720,43168,6.7,424999,687260,98.3
03801,419411,35403.0,5.1,455483,64648.0,8.6,398465,189316.0,28.9,365739,80989.0,13.5,319586,86332.0,16.4,433003,44898,6.3,488729,64793,8.1,280555,311539,67.5,308823,99173,19.5,469707,94205,12.2
03802,711860,95765.0,8.2,765566,88189.0,7.0,830938,431890.0,31.6,416714,182650.0,26.6,539236,511826.0,57.7,690434,54928,4.8,818197,110406,8.2,485115,132410,16.6,548357,151398,16.8,666666,101495,9.3
03803,673151,97874.0,8.8,769682,154186.0,12.2,618576,188888.0,18.6,672169,287447.0,26.0,533200,147821.0,16.9,725914,70587,5.9,833471,189485,13.8,670693,120890,11.0,665974,142352,13.0,759258,179212,14.3
03804,613142,127049.0,12.6,758382,276441.0,22.2,444161,184811.0,25.3,629738,426467.0,41.2,652302,214835.0,20.0,623509,110429,10.8,1066513,411388,23.4,452920,53331,7.2,351999,427248,73.8,772958,272825,21.5
03805,1088101,52880.0,3.0,1115000,,,611939,298376.0,29.6,1115000,,,754242,98581.0,7.9,1348983,83514,3.8,1407323,97822,4.2,439188,141119,19.5,1078260,371084,20.9,1219779,146763,7.3
03806,1035421,46344.0,2.7,1062050,51944.0,3.0,983010,211934.0,13.1,909893,274636.0,18.3,875939,121870.0,8.5,1262980,90748,4.4,1292497,94473,4.4,787814,279075,21.5,862049,226995,16.0,1331379,364289,16.6
03807,914431,67746.0,4.5,933455,76962.0,5.0,692832,217608.0,19.1,789957,147277.0,11.3,1019487,194959.0,11.6,947181,77485,5.0,984319,113341,7.0,276363,209312,46.0,634045,171684,16.5,1095237,175050,9.7
03808,811771,36408.0,2.7,850487,54638.0,3.9,522598,54939.0,6.4,633193,154304.0,14.8,712822,89727.0,7.7,868091,43591,3.1,881113,55482,3.8,669720,3167,0.3,940996,190860,12.3,873373,77724,5.4
03809,691014,54281.0,4.8,713414,66370.0,5.7,519465,174489.0,20.4,609154,136797.0,13.7,765543,146331.0,11.6,700514,46874,4.1,774041,71152,5.6,13799,411829,1814.3,564177,178645,19.2,684210,79995,7.1
03810,1115000,,,1115000,,,916279,321452.0,21.3,901295,319802.0,21.6,1022818,120065.0,7.1,1381958,87550,3.9,1431156,91617,3.9,481914,684932,86.4,1435949,810215,34.3,1051561,231519,13.4
03901,536590,8860.0,1.0,540597,9386.0,1.1,443929,123076.0,16.9,511281,39275.0,4.7,497294,37336.0,4.6,567156,13755,1.5,572916,14542,1.5,390624,177614,27.6,513969,56776,6.7,548582,60724,6.7
03902,515009,11186.0,1.3,518902,12946.0,1.5,403513,85492.0,12.9,505206,31260.0,3.8,505207,30179.0,3.6,522850,18166,2.1,519426,21471,2.5,565971,153868,16.5,524047,60399,7.0,528176,43201,5.0
03903,437304,9762.0,1.4,476806,13523.0,1.7,387063,19107.0,3.0,391330,17969.0,2.8,447958,30804.0,4.2,441814,11200,1.5,471669,15154,2.0,382146,22148,3.5,395308,23414,3.6,453058,28340,3.8
04001,742047,38092.0,3.1,764732,45851.0,3.6,637811,189889.0,18.1,704234,90292.0,7.8,659438,136645.0,12.6,991931,78264,4.8,993279,93195,5.7,664325,730864,66.9,988927,186482,11.5,961021,332230,21.0
04002,560617,39341.0,4.3,591585,154205.0,15.8,596145,64186.0,6.5,545396,48088.0,5.4,501485,158219.0,19.2,779428,77442,6.0,857544,181054,12.8,734546,156248,12.9,799843,107115,8.1,676767,270764,24.3
04003,673965,26289.0,2.4,685767,77612.0,6.9,676063,29446.0,2.6,696270,96331.0,8.4,519181,139628.0,16.3,994210,73076,4.5,964753,138583,8.7,1042282,103507,6.0,786764,166889,12.9,901785,426870,28.8
04004,740711,51346.0,4.2,815108,79958.0,6.0,647419,108053.0,10.1,693490,256642.0,22.5,588941,122930.0,12.7,942876,56804,3.7,1012607,112935,6.8,799609,128150,9.7,841845,154082,11.1,912765,273588,18.2
04005,1004960,59390.0,3.6,1038941,69573.0,4.1,967897,286993.0,18.0,893536,145167.0,9.9,957941,154952.0,9.8,1380457,92978,4.1,1431461,100516,4.3,1023436,825060,49.0,1356088,364707,16.3,974155,267349,16.7
04006,687793,35040.0,3.1,725536,75160.0,6.3,689745,41804.0,3.7,549575,154778.0,17.1,709534,105587.0,9.0,970475,73936,4.6,1061076,202501,11.6,938350,96707,6.3,821564,216297,16.0,1137018,461771,24.7
04007,463532,26979.0,3.5,569568,,,465503,28197.0,3.7,456398,74681.0,9.9,390560,,,499288,37373,4.6,736841,386901,31.9,495010,37137,4.6,513779,124581,14.7,999999,1642260,99.8
04008,494620,18258.0,2.2,479062,84073.0,10.7,484367,21865.0,2.7,533358,46786.0,5.3,509858,49643.0,5.9,494252,21397,2.6,554834,132962,14.6,479440,23819,3.0,515836,44395,5.2,512135,81804,9.7
04009,547002,9806.0,1.1,588089,27766.0,2.9,536977,12756.0,1.4,511730,34384.0,4.1,537534,44883.0,5.1,581580,12897,1.3,632257,23859,2.3,552524,17167,1.9,555467,53729,5.9,612289,48905,4.9
04010,496681,13279.0,1.6,403159,160424.0,24.2,499587,13836.0,1.7,479428,65564.0,8.3,490722,137844.0,17.1,488987,13697,1.7,566918,145806,15.6,487704,13904,1.7,504841,115082,13.9,588842,169041,17.5
04011,645032,48120.0,4.5,748870,95227.0,7.7,602676,60506.0,6.1,605631,338938.0,34.0,754655,908837.0,73.2,769686,95720,7.6,908446,138258,9.3,697194,133267,11.6,742856,633731,51.9,532985,529820,60.4
04012,702834,36795.0,3.2,757480,59542.0,4.8,573885,223715.0,23.7,675945,58285.0,5.2,678938,73326.0,6.6,889099,48923,3.3,908510,70243,4.7,388558,106717,16.7,897821,95073,6.4,866676,96625,6.8
04013,713258,27585.0,2.4,712148,32336.0,2.8,312742,643746.0,125.1,681489,145202.0,13.0,730498,55729.0,4.6,848859,31029,2.2,846536,37532,2.7,379629,1194953,191.3,749999,184826,15.0,884029,59720,4.1
04014,742346,37235.0,3.0,772708,42886.0,3.4,472306,274426.0,35.3,571150,195612.0,20.8,699995,83277.0,7.2,896227,39660,2.7,930346,43551,2.8,596456,222860,22.7,694248,186669,16.3,852585,125042,8.9
04015,705672,47873.0,4.1,758583,54046.0,4.3,537111,122910.0,13.9,651884,352831.0,32.9,552825,155504.0,17.1,806109,47457,3.6,843763,54989,4.0,676865,162404,14.6,727600,180104,15.0,737051,173727,14.3
04016,624500,24379.0,2.4,627137,29482.0,2.9,494328,101818.0,12.5,509976,66282.0,7.9,649157,43628.0,4.1,655589,26906,2.5,645987,33466,3.1,587499,613945,63.5,590851,96421,9.9,695299,47115,4.1
04017,700424,19246.0,1.7,705427,25560.0,2.2,44634,,,723670,118542.0,10.0,694355,30316.0,2.7,827829,26863,2.0,835375,41751,3.0,1008332,1147073,69.2,884955,142425,9.8,824901,35844,2.6
04018,441588,37425.0,5.2,422255,34288.0,4.9,382999,55951.0,8.9,488329,74788.0,9.3,541467,79039.0,8.9,483309,40130,5.0,470302,56765,7.3,419426,90800,13.2,460790,116062,15.3,599339,84436,8.6
04101,679624,29424.0,2.6,697461,31935.0,2.8,434609,485398.0,67.9,576346,123348.0,13.0,656898,92586.0,8.6,775947,35754,2.8,790506,43113,3.3,395191,295211,45.4,619356,121865,12.0,837431,75231,5.5
04102,461748,32162.0,4.2,348993,48710.0,8.5,563118,87658.0,9.5,513664,46393.0,5.5,469900,77924.0,10.1,538487,33714,3.8,478391,77754,9.9,545927,99650,11.1,569253,51554,5.5,548560,76201,8.4
04103,614828,18220.0,1.8,626747,23476.0,2.3,297023,250495.0,51.3,641114,62032.0,5.9,598597,32647.0,3.3,640029,24599,2.3,654925,35392,3.3,379884,261593,41.9,652815,67465,6.3,628483,39733,3.8
04104,642461,20346.0,1.9,624677,28041.0,2.7,266313,102461.0,23.4,644007,60256.0,5.7,684580,33880.0,3.0,705292,31478,2.7,675144,45505,4.1,544955,276884,30.9,751697,102148,8.3,749565,42439,3.4
04105,478194,7770.0,1.0,492234,19317.0,2.4,467784,9436.0,1.2,454589,37312.0,5.0,529069,24515.0,2.8,475025,7948,1.0,521305,33607,3.9,453862,8382,1.1,482342,28861,3.6,555606,31298,3.4
04106,559408,25492.0,2.8,626022,35374.0,3.4,305854,107182.0,21.3,435248,107668.0,15.0,579871,37207.0,3.9,599451,28346,2.9,681273,42665,3.8,332758,113619,20.8,286186,50830,10.8,627762,41707,4.0
04107,549981,51661.0,5.7,556709,103507.0,11.3,164350,111567.0,41.3,591213,65920.0,6.8,520602,98163.0,11.5,566848,54132,5.8,557022,127754,13.9,388678,446033,69.8,556760,103870,11.3,595058,81730,8.3
04108,391684,26432.0,4.1,408813,33107.0,4.9,217522,144133.0,40.3,309697,30225.0,5.9,420297,51800.0,7.5,406981,29138,4.4,455568,46406,6.2,316233,136285,26.2,338215,56188,10.1,390916,37035,5.8
04109,545467,40721.0,4.5,480039,67299.0,8.5,278971,368698.0,80.3,575047,74936.0,7.9,606788,46331.0,4.6,577188,48192,5.1,502194,75050,9.1,626436,262123,25.4,498852,113433,13.8,700964,74247,6.4
04110,600008,18042.0,1.8,605941,20087.0,2.0,697430,7622.0,0.7,555530,39033.0,4.3,614980,62632.0,6.2,650712,17595,1.6,649042,19648,1.8,322221,232178,43.8,659473,53910,5.0,663047,54948,5.0
04111,488848,16080.0,2.0,457632,36266.0,4.8,494610,73653.0,9.1,500109,26646.0,3.2,498155,29594.0,3.6,523652,23438,2.7,449543,38645,5.2,451851,70712,9.5,553304,37522,4.1,559934,37422,4.1
04112,440868,9553.0,1.3,454621,85313.0,11.4,433897,10449.0,1.5,470160,36917.0,4.8,477213,34768.0,4.4,449672,8429,1.1,505728,118703,14.3,439532,9362,1.3,446090,29547,4.0,521225,49747,5.8
04113,512046,12836.0,1.5,538257,31847.0,3.6,453927,28213.0,3.8,524119,25045.0,2.9,510802,25307.0,3.0,509809,19965,2.4,513892,40578,4.8,471821,30300,3.9,501869,39370,4.8,536071,37650,4.3
04114,541936,25240.0,2.8,637227,38796.0,3.7,459538,28973.0,3.8,466644,80054.0,10.4,619182,235489.0,23.1,512752,31308,3.7,574944,44585,4.7,455927,30065,4.0,488888,80044,10.0,231033,219668,57.8
