puma,units_renteroccu,units_renteroccu_moe,units_renteroccu_cv,units_renteroccu_pct,units_renteroccu_pct_moe,units_affordable_eli,units_affordable_eli_moe,units_affordable_eli_cv,units_affordable_eli_pct,units_affordable_eli_pct_moe,units_affordable_vli,units_affordable_vli_moe,units_affordable_vli_cv,units_affordable_vli_pct,units_affordable_vli_pct_moe,units_affordable_li,units_affordable_li_moe,units_affordable_li_cv,units_affordable_li_pct,units_affordable_li_pct_moe,units_affordable_mi,units_affordable_mi_moe,units_affordable_mi_cv,units_affordable_mi_pct,units_affordable_mi_pct_moe,units_affordable_midi,units_affordable_midi_moe,units_affordable_midi_cv,units_affordable_midi_pct,units_affordable_midi_pct_moe,units_affordable_hi,units_affordable_hi_moe,units_affordable_hi_cv,units_affordable_hi_pct,units_affordable_hi_pct_moe
03701,29081,879,1.8,59.1,,2708,491,11.0,9.3,1.7,3520,478,8.3,12.1,1.6,13377,900,4.1,46.0,2.8,8309,800,5.9,28.6,2.6,1008,259,15.6,3.5,0.9,159,130.0,49.7,0.5,0.4
03702,30469,1106,2.2,46.1,,4125,565,8.3,13.5,1.8,4022,640,9.7,13.2,2.0,17031,976,3.5,55.9,2.5,5252,726,8.4,17.2,2.3,27,35,77.7,0.1,0.1,12,19.0,98.7,0.0,0.1
03703,24935,1291,3.1,47.2,,3578,780,13.2,14.3,3.0,6333,877,8.4,25.4,3.3,10871,1287,7.2,43.6,4.6,3970,610,9.3,15.9,2.3,150,117,47.6,0.6,0.5,33,61.0,111.5,0.1,0.2
03704,30768,959,1.9,54.7,,3388,447,8.0,11.0,1.4,3456,520,9.2,11.2,1.7,16820,961,3.5,54.7,2.6,6889,747,6.6,22.4,2.3,201,118,35.8,0.7,0.4,14,18.0,78.1,0.0,0.1
03705,53565,846,1.0,88.4,,14696,1130,4.7,27.4,2.1,11746,873,4.5,21.9,1.6,22591,1158,3.1,42.2,2.1,4448,505,6.9,8.3,0.9,84,61,44.0,0.2,0.1,0,,,,
03706,41009,775,1.1,72.4,,5465,791,8.8,13.3,1.9,5750,768,8.1,14.0,1.9,24027,1006,2.5,58.6,2.2,5532,626,6.9,13.5,1.5,182,158,52.8,0.4,0.4,53,60.0,68.9,0.1,0.1
03707,43381,613,0.9,81.5,,7806,709,5.5,18.0,1.6,7880,712,5.5,18.2,1.6,22024,1055,2.9,50.8,2.3,5429,607,6.8,12.5,1.4,201,122,37.0,0.5,0.3,41,69.0,102.7,0.1,0.2
03708,45121,738,1.0,80.6,,7850,813,6.3,17.4,1.8,8539,817,5.8,18.9,1.8,23428,1177,3.1,51.9,2.5,5073,685,8.2,11.2,1.5,231,163,43.0,0.5,0.4,0,,,,
03709,50640,937,1.1,67.6,,9423,902,5.8,18.6,1.7,8190,720,5.3,16.2,1.4,26168,1191,2.8,51.7,2.1,6754,724,6.5,13.3,1.4,105,73,42.1,0.2,0.1,0,,,,
03710,47324,755,1.0,88.9,,16706,1154,4.2,35.3,2.4,9902,1001,6.1,20.9,2.1,17047,1109,4.0,36.0,2.3,3439,550,9.7,7.3,1.2,200,175,53.3,0.4,0.4,30,51.0,102.7,0.1,0.1
03801,67895,1281,1.1,62.5,,9319,1125,7.3,13.7,1.6,12158,1025,5.1,17.9,1.5,24323,1320,3.3,35.8,1.8,19340,1239,3.9,28.5,1.7,2580,492,11.6,3.8,0.7,175,121.0,41.9,0.3,0.2
03802,38290,1022,1.6,58.4,,6960,801,7.0,18.2,2.0,6704,893,8.1,17.5,2.3,9761,1064,6.6,25.5,2.7,9809,958,5.9,25.6,2.4,4231,693,10.0,11.0,1.8,825,240.0,17.7,2.2,0.6
03803,48452,1112,1.4,75.2,,11599,1012,5.3,23.9,2.0,11202,978,5.3,23.1,1.9,11901,925,4.7,24.6,1.8,8914,816,5.6,18.4,1.6,4213,463,6.7,8.7,0.9,623,235.0,22.9,1.3,0.5
03804,45541,845,1.1,92.2,,17665,996,3.4,38.8,2.1,8362,892,6.5,18.4,1.9,8842,934,6.4,19.4,2.0,6807,707,6.3,14.9,1.5,2955,491,10.1,6.5,1.1,910,279.0,18.6,2.0,0.6
03805,68560,2571,2.3,55.3,,2183,551,15.4,3.2,0.8,2950,759,15.6,4.3,1.1,7849,1240,9.6,11.4,1.8,20465,1901,5.6,29.8,2.5,22425,1968,5.3,32.7,2.6,12688,1333.0,6.4,18.5,1.8
03806,61407,2030,2.0,57.3,,7446,1113,9.1,12.1,1.8,6352,1041,10.0,10.3,1.7,10864,1265,7.1,17.7,2.0,11178,974,5.3,18.2,1.5,13288,1387,6.3,21.6,2.1,12279,1498.0,7.4,20.0,2.3
03807,68851,1602,1.4,65.7,,6271,1025,9.9,9.1,1.5,9343,1109,7.2,13.6,1.6,9994,828,5.0,14.5,1.2,10536,1392,8.0,15.3,2.0,14075,1405,6.1,20.4,2.0,18632,1321.0,4.3,27.1,1.8
03808,51750,1766,2.1,54.3,,1461,649,27.0,2.8,1.3,1638,411,15.2,3.2,0.8,6947,1162,10.2,13.4,2.2,12068,1129,5.7,23.3,2.0,14804,1622,6.7,28.6,3.0,14832,1424.0,5.8,28.7,2.6
03809,63241,1041,1.0,86.7,,17557,1268,4.4,27.8,2.0,11270,1004,5.4,17.8,1.6,12283,1102,5.5,19.4,1.7,7017,850,7.4,11.1,1.3,10559,969,5.6,16.7,1.5,4555,668.0,8.9,7.2,1.0
03810,52708,1625,1.9,53.8,,3256,601,11.2,6.2,1.1,3576,548,9.3,6.8,1.0,5742,759,8.0,10.9,1.4,8617,970,6.8,16.3,1.8,14046,1205,5.2,26.6,2.1,17471,1185.0,4.1,33.1,2.0
03901,9911,1047,6.4,13.0,,827,365,26.8,8.3,3.6,1321,412,19.0,13.3,3.9,5223,757,8.8,52.7,5.2,2226,550,15.0,22.5,5.0,246,210,51.9,2.5,2.1,68,96.0,86.0,0.7,1.0
03902,12804,920,4.4,21.1,,2085,363,10.6,16.3,2.6,1621,409,15.4,12.7,3.1,5469,593,6.6,42.7,3.5,3451,628,11.1,27.0,4.5,170,137,48.9,1.3,1.1,8,16.0,122.5,0.1,0.1
03903,26258,1122,2.6,34.6,,5541,722,7.9,21.1,2.6,3953,742,11.4,15.1,2.8,12072,1046,5.3,46.0,3.5,4496,569,7.7,17.1,2.0,180,97,32.8,0.7,0.4,16,17.0,63.7,0.1,0.1
04001,54221,1099,1.2,62.8,,6955,778,6.8,12.8,1.4,6969,711,6.2,12.9,1.3,10430,865,5.0,19.2,1.5,11731,811,4.2,21.6,1.4,11410,838,4.5,21.0,1.5,6726,600.0,5.4,12.4,1.1
04002,39957,812,1.2,60.4,,6599,685,6.3,16.5,1.7,6194,710,7.0,15.5,1.7,12355,813,4.0,30.9,1.9,10324,893,5.3,25.8,2.2,3918,452,7.0,9.8,1.1,567,165.0,17.7,1.4,0.4
04003,40900,1089,1.6,59.5,,8912,809,5.5,21.8,1.9,6544,741,6.9,16.0,1.8,10747,889,5.0,26.3,2.1,10443,802,4.7,25.5,1.8,3937,587,9.1,9.6,1.4,317,155.0,29.6,0.8,0.4
04004,42623,1029,1.5,54.5,,7429,727,5.9,17.4,1.7,4817,656,8.3,11.3,1.5,5880,633,6.5,13.8,1.4,7715,728,5.7,18.1,1.7,10304,685,4.0,24.2,1.5,6478,539.0,5.1,15.2,1.2
04005,29781,1047,2.1,45.0,,3148,541,10.4,10.6,1.8,2375,490,12.5,8.0,1.6,3860,542,8.5,13.0,1.8,7383,610,5.0,24.8,1.9,10335,782,4.6,34.7,2.3,2680,376.0,8.5,9.0,1.2
04006,43766,1012,1.4,63.9,,6859,737,6.5,15.7,1.6,7592,819,6.6,17.3,1.8,13244,955,4.4,30.3,2.1,10652,854,4.9,24.3,1.9,4788,490,6.2,10.9,1.1,631,189.0,18.2,1.4,0.4
04007,37703,920,1.5,88.2,,12686,862,4.1,33.6,2.1,7285,747,6.2,19.3,1.9,12344,950,4.7,32.7,2.4,5019,659,8.0,13.3,1.7,358,197,33.4,0.9,0.5,11,18.0,102.1,0.0,0.0
04008,41863,1147,1.7,65.2,,9784,806,5.0,23.4,1.8,6785,640,5.7,16.2,1.5,19541,1241,3.9,46.7,2.7,5576,642,7.0,13.3,1.5,159,113,43.2,0.4,0.3,18,34.0,115.7,0.0,0.1
04009,27750,1034,2.3,29.3,,3431,504,8.9,12.4,1.8,3459,450,7.9,12.5,1.6,13624,918,4.1,49.1,2.8,6790,761,6.8,24.5,2.6,364,158,26.4,1.3,0.6,82,81.0,60.3,0.3,0.3
04010,31311,983,1.9,49.1,,1993,376,11.5,6.4,1.2,4404,576,7.9,14.1,1.8,18316,1033,3.4,58.5,2.7,6407,633,6.0,20.5,1.9,167,111,40.5,0.5,0.4,24,40.0,101.2,0.1,0.1
04011,34969,730,1.3,65.9,,2266,465,12.5,6.5,1.3,4545,591,7.9,13.0,1.7,17408,1057,3.7,49.8,2.8,9200,689,4.6,26.3,1.9,1359,362,16.2,3.9,1.0,191,145.0,46.2,0.5,0.4
04012,31011,937,1.8,47.2,,2712,489,11.0,8.7,1.6,4716,612,7.9,15.2,1.9,13611,840,3.8,43.9,2.4,8419,646,4.7,27.1,1.9,1453,298,12.5,4.7,1.0,100,76.0,46.1,0.3,0.2
04013,26957,841,1.9,46.3,,1197,262,13.3,4.4,1.0,2405,373,9.4,8.9,1.4,12948,798,3.7,48.0,2.6,9797,640,4.0,36.3,2.1,555,170,18.7,2.1,0.6,55,56.0,62.3,0.2,0.2
04014,27642,920,2.0,50.2,,1892,373,12.0,6.8,1.3,3409,516,9.2,12.3,1.8,12994,824,3.9,47.0,2.5,8518,691,4.9,30.8,2.3,654,199,18.5,2.4,0.7,175,133.0,46.2,0.6,0.5
04015,42842,888,1.3,60.5,,2664,473,10.8,6.2,1.1,3873,571,9.0,9.0,1.3,21593,1123,3.2,50.4,2.4,14013,827,3.6,32.7,1.8,639,200,19.1,1.5,0.5,60,52.0,53.0,0.1,0.1
04016,29075,1076,2.3,43.4,,3001,478,9.7,10.3,1.6,3190,474,9.0,11.0,1.6,13209,949,4.4,45.4,2.8,8876,740,5.1,30.5,2.3,656,168,15.6,2.3,0.6,143,112.0,47.6,0.5,0.4
04017,39054,1059,1.6,45.5,,2614,404,9.4,6.7,1.0,4533,581,7.8,11.6,1.5,23629,863,2.2,60.5,1.5,7832,757,5.9,20.1,1.9,399,151,23.0,1.0,0.4,47,61.0,78.4,0.1,0.2
04018,32694,946,1.8,77.0,,10212,815,4.9,31.2,2.3,5181,707,8.3,15.8,2.1,11397,932,5.0,34.9,2.7,5392,609,6.9,16.5,1.8,499,221,26.9,1.5,0.7,13,22.0,104.5,0.0,0.1
04101,56210,1276,1.4,62.8,,6502,688,6.4,11.6,1.2,5216,588,6.8,9.3,1.0,13361,968,4.4,23.8,1.6,25508,1082,2.6,45.4,1.6,4914,556,6.9,8.7,1.0,709,201.0,17.3,1.3,0.4
04102,33247,1009,1.8,39.9,,1387,385,16.9,4.2,1.2,2585,468,11.0,7.8,1.4,16026,918,3.5,48.2,2.3,12676,900,4.3,38.1,2.4,573,230,24.3,1.7,0.7,0,,,,
04103,42448,1240,1.8,38.5,,2596,577,13.5,6.1,1.3,4378,510,7.1,10.3,1.2,18629,1047,3.4,43.9,2.1,15978,1044,4.0,37.6,2.2,801,232,17.6,1.9,0.5,66,71.0,65.6,0.2,0.2
04104,12129,725,3.6,21.4,,158,113,43.4,1.3,0.9,1183,363,18.7,9.8,2.9,3926,486,7.5,32.4,3.5,5848,527,5.5,48.2,3.3,963,306,19.3,7.9,2.5,51,69.0,82.5,0.4,0.6
04105,15388,954,3.8,15.8,,485,172,21.5,3.2,1.1,2143,398,11.3,13.9,2.4,7282,708,5.9,47.3,3.5,5259,586,6.8,34.2,3.2,174,116,40.4,1.1,0.7,45,69.0,93.7,0.3,0.5
04106,29342,1108,2.3,38.5,,1703,426,15.2,5.8,1.4,3062,556,11.0,10.4,1.9,12216,931,4.6,41.6,2.8,11726,1100,5.7,40.0,3.4,501,178,21.6,1.7,0.6,134,99.0,45.1,0.5,0.3
04107,31397,820,1.6,46.1,,1650,389,14.3,5.3,1.2,2958,586,12.1,9.4,1.9,14096,1008,4.3,44.9,3.0,12331,992,4.9,39.3,3.0,362,147,24.7,1.2,0.5,0,,,,
04108,26337,1163,2.7,45.9,,1119,313,17.0,4.2,1.2,2127,465,13.3,8.1,1.7,6857,809,7.2,26.0,2.8,12765,960,4.6,48.5,3.0,3183,552,10.5,12.1,2.0,286,136.0,28.9,1.1,0.5
04109,37037,982,1.6,49.6,,714,291,24.8,1.9,0.8,2599,411,9.6,7.0,1.1,13277,871,4.0,35.8,2.1,13936,795,3.5,37.6,1.9,4028,502,7.6,10.9,1.3,2483,412.0,10.1,6.7,1.1
04110,35683,1035,1.8,38.6,,1034,329,19.4,2.9,0.9,3747,432,7.0,10.5,1.2,19557,1037,3.2,54.8,2.4,10467,771,4.5,29.3,2.0,860,211,14.9,2.4,0.6,18,29.0,96.8,0.1,0.1
04111,22637,791,2.1,31.9,,610,173,17.2,2.7,0.8,1845,297,9.8,8.2,1.3,12280,752,3.7,54.2,2.7,7644,709,5.6,33.8,2.9,217,139,38.8,1.0,0.6,41,56.0,83.0,0.2,0.2
04112,35205,1188,2.1,31.9,,2977,479,9.8,8.5,1.3,6770,824,7.4,19.2,2.2,18679,1065,3.5,53.1,2.4,6636,591,5.4,18.8,1.6,143,135,57.3,0.4,0.4,0,,,,
04113,11835,668,3.4,18.9,,298,160,32.7,2.5,1.3,1501,328,13.3,12.7,2.7,6479,698,6.6,54.7,5.0,3397,527,9.4,28.7,4.1,160,129,49.1,1.4,1.1,0,,,,
04114,26715,1030,2.3,52.6,,6138,793,7.9,23.0,2.8,4899,789,9.8,18.3,2.9,11188,933,5.1,41.9,3.1,4320,682,9.6,16.2,2.5,170,113,40.6,0.6,0.4,0,,,,
