puma,units_occupied_0812_count,units_occupied_0812_count_moe,units_occupied_0812_count_cv,units_occupied_0812_pct,units_occupied_owner_0812_count,units_occupied_owner_0812_count_moe,units_occupied_owner_0812_count_cv,units_occupied_owner_0812_pct,units_occupied_owner_0812_pct_moe,units_occupied_renter_0812_count,units_occupied_renter_0812_count_moe,units_occupied_renter_0812_count_cv,units_occupied_renter_0812_pct,units_occupied_renter_0812_pct_moe,units_occupied_wnh_0812_count,units_occupied_wnh_0812_count_moe,units_occupied_wnh_0812_count_cv,units_occupied_wnh_0812_pct,units_occupied_owner_wnh_0812_count,units_occupied_owner_wnh_0812_count_moe,units_occupied_owner_wnh_0812_count_cv,units_occupied_owner_wnh_0812_pct,units_occupied_owner_wnh_0812_pct_moe,units_occupied_renter_wnh_0812_count,units_occupied_renter_wnh_0812_count_moe,units_occupied_renter_wnh_0812_count_cv,units_occupied_renter_wnh_0812_pct,units_occupied_renter_wnh_0812_pct_moe,units_occupied_bnh_0812_count,units_occupied_bnh_0812_count_moe,units_occupied_bnh_0812_count_cv,units_occupied_bnh_0812_pct,units_occupied_owner_bnh_0812_count,units_occupied_owner_bnh_0812_count_moe,units_occupied_owner_bnh_0812_count_cv,units_occupied_owner_bnh_0812_pct,units_occupied_owner_bnh_0812_pct_moe,units_occupied_renter_bnh_0812_count,units_occupied_renter_bnh_0812_count_moe,units_occupied_renter_bnh_0812_count_cv,units_occupied_renter_bnh_0812_pct,units_occupied_renter_bnh_0812_pct_moe,units_occupied_hsp_0812_count,units_occupied_hsp_0812_count_moe,units_occupied_hsp_0812_count_cv,units_occupied_hsp_0812_pct,units_occupied_owner_hsp_0812_count,units_occupied_owner_hsp_0812_count_moe,units_occupied_owner_hsp_0812_count_cv,units_occupied_owner_hsp_0812_pct,units_occupied_owner_hsp_0812_pct_moe,units_occupied_renter_hsp_0812_count,units_occupied_renter_hsp_0812_count_moe,units_occupied_renter_hsp_0812_count_cv,units_occupied_renter_hsp_0812_pct,units_occupied_renter_hsp_0812_pct_moe,units_occupied_anh_0812_count,units_occupied_anh_0812_count_moe,units_occupied_anh_0812_count_cv,units_occupied_anh_0812_pct,units_occupied_owner_anh_0812_count,units_occupied_owner_anh_0812_count_moe,units_occupied_owner_anh_0812_count_cv,units_occupied_owner_anh_0812_pct,units_occupied_owner_anh_0812_pct_moe,units_occupied_renter_anh_0812_count,units_occupied_renter_anh_0812_count_moe,units_occupied_renter_anh_0812_count_cv,units_occupied_renter_anh_0812_pct,units_occupied_renter_anh_0812_pct_moe,units_occupied_1519_count,units_occupied_1519_count_moe,units_occupied_1519_count_cv,units_occupied_1519_pct,units_occupied_owner_1519_count,units_occupied_owner_1519_count_moe,units_occupied_owner_1519_count_cv,units_occupied_owner_1519_pct,units_occupied_owner_1519_pct_moe,units_occupied_renter_1519_count,units_occupied_renter_1519_count_moe,units_occupied_renter_1519_count_cv,units_occupied_renter_1519_pct,units_occupied_renter_1519_pct_moe,units_occupied_wnh_1519_count,units_occupied_wnh_1519_count_moe,units_occupied_wnh_1519_count_cv,units_occupied_wnh_1519_pct,units_occupied_owner_wnh_1519_count,units_occupied_owner_wnh_1519_count_moe,units_occupied_owner_wnh_1519_count_cv,units_occupied_owner_wnh_1519_pct,units_occupied_owner_wnh_1519_pct_moe,units_occupied_renter_wnh_1519_count,units_occupied_renter_wnh_1519_count_moe,units_occupied_renter_wnh_1519_count_cv,units_occupied_renter_wnh_1519_pct,units_occupied_renter_wnh_1519_pct_moe,units_occupied_bnh_1519_count,units_occupied_bnh_1519_count_moe,units_occupied_bnh_1519_count_cv,units_occupied_bnh_1519_pct,units_occupied_owner_bnh_1519_count,units_occupied_owner_bnh_1519_count_moe,units_occupied_owner_bnh_1519_count_cv,units_occupied_owner_bnh_1519_pct,units_occupied_owner_bnh_1519_pct_moe,units_occupied_renter_bnh_1519_count,units_occupied_renter_bnh_1519_count_moe,units_occupied_renter_bnh_1519_count_cv,units_occupied_renter_bnh_1519_pct,units_occupied_renter_bnh_1519_pct_moe,units_occupied_hsp_1519_count,units_occupied_hsp_1519_count_moe,units_occupied_hsp_1519_count_cv,units_occupied_hsp_1519_pct,units_occupied_owner_hsp_1519_count,units_occupied_owner_hsp_1519_count_moe,units_occupied_owner_hsp_1519_count_cv,units_occupied_owner_hsp_1519_pct,units_occupied_owner_hsp_1519_pct_moe,units_occupied_renter_hsp_1519_count,units_occupied_renter_hsp_1519_count_moe,units_occupied_renter_hsp_1519_count_cv,units_occupied_renter_hsp_1519_pct,units_occupied_renter_hsp_1519_pct_moe,units_occupied_anh_1519_count,units_occupied_anh_1519_count_moe,units_occupied_anh_1519_count_cv,units_occupied_anh_1519_pct,units_occupied_owner_anh_1519_count,units_occupied_owner_anh_1519_count_moe,units_occupied_owner_anh_1519_count_cv,units_occupied_owner_anh_1519_pct,units_occupied_owner_anh_1519_pct_moe,units_occupied_renter_anh_1519_count,units_occupied_renter_anh_1519_count_moe,units_occupied_renter_anh_1519_count_cv,units_occupied_renter_anh_1519_pct,units_occupied_renter_anh_1519_pct_moe
03701,40996,644,1.0,100,12393,769,3.8,30.2,1.8,28603,822,1.7,69.8,1.7,17849,674,2.3,100,8262,655,4.8,46.3,3.2,9587,609,3.9,53.7,2.7,5363,503,5.7,100,966,313,19.7,18.0,5.6,4397,481,6.7,82.0,4.6,15047,678,2.7,100,2124,403,11.5,14.1,2.6,12923,662,3.1,85.9,2.1,2071,358,10.5,100,806,213,16.0,38.9,7.8,1265,276,13.3,61.1,8.1,42884,645,0.9,100,13347,817,3.7,31.1,1.8,29537,867,1.8,68.9,1.7,16042,695,2.6,100,8121,524,3.9,50.6,2.4,7921,633,4.9,49.4,3.3,5623,627,6.8,100,1386,429,18.8,24.6,7.1,4237,585,8.4,75.4,6.1,18744,865,2.8,100,3147,596,11.5,16.8,3.1,15597,864,3.4,83.2,2.5,1562,262,10.2,100,579,161,16.9,37.1,8.2,983,228,14.1,62.9,10.1
03702,47061,607,0.8,100,17692,843,2.9,37.6,1.7,29369,926,1.9,62.4,1.8,4432,428,5.9,100,1832,304,10.1,41.3,5.6,2600,348,8.1,58.7,5.4,31636,872,1.7,100,13053,744,3.5,41.3,2.1,18583,1016,3.3,58.7,2.8,9172,730,4.8,100,1999,407,12.4,21.8,4.1,7173,664,5.6,78.2,3.7,809,335,25.2,100,381,147,23.5,47.1,26.7,428,244,34.7,52.9,20.7,50543,607,0.7,100,19234,945,3.0,38.1,1.8,31309,1043,2.0,61.9,1.9,4235,422,6.1,100,2004,304,9.2,47.3,5.4,2231,311,8.5,52.7,5.1,31969,1037,2.0,100,13694,753,3.3,42.8,1.9,18275,1021,3.4,57.2,2.6,11785,1009,5.2,100,2402,452,11.4,20.4,3.4,9383,968,6.3,79.6,4.6,1190,256,13.1,100,563,167,18.0,47.3,9.6,627,210,20.3,52.7,13.5
03703,46247,637,0.8,100,21960,1081,3.0,47.5,2.2,24287,1095,2.7,52.5,2.3,18435,695,2.3,100,10175,802,4.8,55.2,3.8,8260,636,4.7,44.8,3.0,13281,882,4.0,100,6311,805,7.8,47.5,5.2,6970,804,7.0,52.5,4.9,13100,944,4.4,100,4765,658,8.4,36.4,4.3,8335,881,6.4,63.6,4.9,788,251,19.3,100,469,176,22.9,59.5,12.0,319,146,27.8,40.5,13.3,47805,548,0.7,100,22513,1265,3.4,47.1,2.6,25292,1282,3.1,52.9,2.6,14359,783,3.3,100,8690,677,4.7,60.5,3.4,5669,561,6.0,39.5,3.3,14340,1242,5.3,100,6610,940,8.6,46.1,5.2,7730,970,7.6,53.9,4.9,17016,1200,4.3,100,6213,842,8.2,36.5,4.2,10803,1172,6.6,63.5,5.2,1295,347,16.3,100,637,233,22.2,49.2,12.2,658,257,23.7,50.8,14.4
03704,44206,521,0.7,100,13132,788,3.6,29.7,1.7,31074,839,1.6,70.3,1.7,13084,696,3.2,100,5993,490,5.0,45.8,2.8,7091,643,5.5,54.2,4.0,9160,621,4.1,100,2264,336,9.0,24.7,3.3,6896,536,4.7,75.3,2.9,17824,873,3.0,100,3409,505,9.0,19.1,2.7,14415,898,3.8,80.9,3.1,3297,394,7.3,100,1214,256,12.8,36.8,6.4,2083,309,9.0,63.2,5.6,44700,549,0.7,100,13295,810,3.7,29.7,1.8,31405,928,1.8,70.3,1.9,10422,597,3.5,100,4374,540,7.5,42.0,4.6,6048,538,5.4,58.0,4.0,10135,791,4.7,100,2954,464,9.6,29.1,4.0,7181,751,6.4,70.9,4.9,20041,991,3.0,100,4371,515,7.2,21.8,2.3,15670,980,3.8,78.2,3.0,3228,366,6.9,100,1314,218,10.1,40.7,4.9,1914,314,10.0,59.3,7.0
03705,52223,541,0.6,100,3921,496,7.7,7.5,0.9,48302,647,0.8,92.5,0.8,1849,300,9.9,100,207,94,27.5,11.2,4.7,1642,275,10.2,88.8,3.7,16990,865,3.1,100,1238,227,11.1,7.3,1.3,15752,866,3.3,92.7,1.9,32412,922,1.7,100,2292,369,9.8,7.1,1.1,30120,945,1.9,92.9,1.2,359,121,20.5,100,90,76,51.2,25.1,19.3,269,98,22.1,74.9,10.1,58786,548,0.6,100,3846,494,7.8,6.5,0.8,54940,722,0.8,93.5,0.9,1908,334,10.6,100,123,68,33.8,6.4,3.4,1785,332,11.3,93.6,5.9,20379,889,2.7,100,1376,285,12.6,6.8,1.4,19003,893,2.9,93.2,1.6,35226,947,1.6,100,2271,411,11.0,6.4,1.2,32955,972,1.8,93.6,1.1,564,225,24.2,100,65,79,74.0,11.5,13.2,499,200,24.4,88.5,4.2
03706,43044,492,0.7,100,3285,441,8.2,7.6,1.0,39759,621,1.0,92.4,1.0,4748,648,8.3,100,477,180,22.9,10.0,3.5,4271,591,8.4,90.0,2.0,9278,791,5.2,100,1072,279,15.8,11.6,2.8,8206,765,5.7,88.4,3.3,25838,901,2.1,100,1115,282,15.4,4.3,1.1,24723,896,2.2,95.7,0.9,2289,420,11.1,100,385,182,28.8,16.8,7.3,1904,425,13.6,83.2,10.6,45345,511,0.7,100,2815,405,8.7,6.2,0.9,42530,650,0.9,93.8,1.0,3228,588,11.1,100,233,152,39.6,7.2,4.5,2995,553,11.2,92.8,2.7,7761,865,6.8,100,880,244,16.9,11.3,2.9,6881,795,7.0,88.7,2.7,31364,1089,2.1,100,1296,265,12.4,4.1,0.8,30068,1084,2.2,95.9,0.9,1979,395,12.1,100,329,129,23.8,16.6,5.6,1650,372,13.7,83.4,8.8
03707,42539,547,0.8,100,1548,306,12.0,3.6,0.7,40991,586,0.9,96.4,0.6,506,173,20.7,100,49,44,54.0,9.7,8.0,457,171,22.8,90.3,13.9,14006,733,3.2,100,547,208,23.1,3.9,1.5,13459,719,3.2,96.1,1.0,26918,868,2.0,100,858,224,15.9,3.2,0.8,26060,791,1.8,96.8,4.3,555,189,20.7,100,29,40,84.1,5.2,7.0,526,190,22.0,94.8,11.6,46430,438,0.6,100,1773,321,11.0,3.8,0.7,44657,558,0.8,96.2,0.8,614,183,18.1,100,67,45,41.2,10.9,6.6,547,177,19.7,89.1,11.3,13829,856,3.8,100,542,240,26.9,3.9,1.7,13287,816,3.7,96.1,8.4,30780,871,1.7,100,963,248,15.6,3.1,0.8,29817,934,1.9,96.9,1.3,617,166,16.3,100,168,112,40.4,27.2,16.5,449,135,18.3,72.8,9.8
03708,46872,497,0.6,100,3250,452,8.4,6.9,1.0,43622,620,0.9,93.1,0.9,740,312,25.6,100,166,144,52.6,22.4,17.0,574,273,28.9,77.6,17.1,17311,1040,3.7,100,2063,347,10.2,11.9,1.9,15248,1037,4.1,88.1,2.8,27666,1090,2.4,100,800,274,20.8,2.9,1.0,26866,1082,2.4,97.1,0.8,479,143,18.2,100,103,81,48.1,21.5,15.7,376,127,20.5,78.5,12.2,49786,502,0.6,100,3068,487,9.7,6.2,1.0,46718,707,0.9,93.8,1.1,1260,301,14.5,100,223,102,27.7,17.7,6.9,1037,272,15.9,82.3,8.9,16000,856,3.3,100,1588,307,11.7,9.9,1.8,14412,838,3.5,90.1,2.0,30874,997,2.0,100,1090,346,19.3,3.5,1.1,29784,978,2.0,96.5,0.6,716,229,19.4,100,98,79,48.9,13.7,10.1,618,211,20.7,86.3,10.3
03709,62665,622,0.6,100,12943,979,4.6,20.7,1.5,49722,1203,1.5,79.3,1.8,1912,341,10.9,100,636,164,15.7,33.3,6.2,1276,283,13.5,66.7,8.8,20561,955,2.8,100,3667,496,8.2,17.8,2.3,16894,1005,3.6,82.2,3.1,35324,1180,2.0,100,6700,693,6.3,19.0,1.9,28624,1350,2.9,81.0,2.7,2986,453,9.2,100,1204,292,14.7,40.3,7.6,1782,373,12.7,59.7,8.6,65226,610,0.6,100,13642,841,3.7,20.9,1.3,51584,951,1.1,79.1,1.3,2078,333,9.7,100,636,172,16.4,30.6,6.6,1442,294,12.4,69.4,8.8,21084,969,2.8,100,3660,486,8.1,17.4,2.2,17424,1024,3.6,82.6,3.0,36893,1299,2.1,100,7187,662,5.6,19.5,1.7,29706,1390,2.8,80.5,2.5,3707,371,6.1,100,1774,293,10.0,47.9,6.3,1933,391,12.3,52.1,9.2
03710,47427,515,0.7,100,3069,465,9.2,6.5,1.0,44358,671,0.9,93.5,1.0,669,176,16.0,100,97,78,48.9,14.5,11.0,572,161,17.1,85.5,8.6,12072,714,3.6,100,663,203,18.6,5.5,1.7,11409,675,3.6,94.5,0.1,34058,767,1.4,100,2182,360,10.0,6.4,1.0,31876,798,1.5,93.6,1.0,347,166,29.0,100,86,86,61.0,24.8,21.9,261,159,37.0,75.2,28.5,52325,544,0.6,100,4111,515,7.6,7.9,1.0,48214,723,0.9,92.1,1.0,1151,338,17.9,100,167,111,40.5,14.5,8.7,984,274,16.9,85.5,34.6,14353,801,3.4,100,933,264,17.2,6.5,1.8,13420,803,3.6,93.5,2.0,35980,867,1.5,100,2896,431,9.1,8.0,1.2,33084,954,1.8,92.0,1.5,246,122,30.1,100,93,67,44.1,37.8,20.0,153,106,42.1,62.2,30.2
03801,72966,956,0.8,100,6628,587,5.4,9.1,0.8,66338,994,0.9,90.9,0.7,17497,848,2.9,100,3747,485,7.9,21.4,2.6,13750,855,3.8,78.6,3.1,7985,766,5.8,100,837,236,17.1,10.5,2.8,7148,727,6.2,89.5,3.0,43883,1149,1.6,100,1570,401,15.5,3.6,0.9,42313,1111,1.6,96.4,0.2,2086,404,11.8,100,351,128,22.2,16.8,5.2,1735,372,13.0,83.2,7.7,76660,1023,0.8,100,7405,656,5.4,9.7,0.8,69255,1192,1.0,90.3,1.0,20225,1002,3.0,100,4344,502,7.0,21.5,2.2,15881,912,3.5,78.5,2.3,6835,809,7.2,100,703,250,21.7,10.3,3.5,6132,822,8.2,89.7,5.7,45463,1664,2.2,100,1720,442,15.6,3.8,1.0,43743,1602,2.2,96.2,0.1,2615,460,10.7,100,397,180,27.6,15.2,6.3,2218,433,11.9,84.8,7.2
03802,46949,708,0.9,100,6294,679,6.6,13.4,1.4,40655,956,1.4,86.6,1.6,13777,834,3.7,100,3292,444,8.2,23.9,2.9,10485,765,4.4,76.1,3.1,12564,674,3.3,100,1560,389,15.1,12.4,3.0,11004,703,3.9,87.6,3.0,15832,884,3.4,100,688,236,20.9,4.3,1.5,15144,857,3.4,95.7,0.9,3309,600,11.0,100,519,176,20.6,15.7,4.5,2790,586,12.8,84.3,8.9,47502,738,0.9,100,7680,718,5.7,16.2,1.5,39822,962,1.5,83.8,1.6,14855,755,3.1,100,3815,472,7.5,25.7,2.9,11040,756,4.2,74.3,3.4,10509,928,5.4,100,1752,447,15.5,16.7,4.0,8757,848,5.9,83.3,3.3,17071,1157,4.1,100,1292,380,17.9,7.6,2.2,15779,1196,4.6,92.4,3.1,3489,661,11.5,100,554,318,34.9,15.9,8.6,2935,513,10.6,84.1,21.7
03803,51710,942,1.1,100,6977,576,5.0,13.5,1.1,44733,1099,1.5,86.5,1.4,6754,564,5.1,100,1867,310,10.1,27.6,4.0,4887,556,6.9,72.4,5.6,33123,1101,2.0,100,3727,461,7.5,11.3,1.3,29396,1153,2.4,88.7,1.8,8798,773,5.3,100,660,232,21.4,7.5,2.6,8138,755,5.6,92.5,2.8,1364,273,12.2,100,405,143,21.5,29.7,8.7,959,229,14.5,70.3,9.2,56578,921,1.0,100,7017,689,6.0,12.4,1.2,49561,1082,1.3,87.6,1.3,9495,655,4.2,100,2497,407,9.9,26.3,3.9,6998,551,4.8,73.7,2.8,31531,1099,2.1,100,3005,545,11.0,9.5,1.7,28526,1245,2.7,90.5,2.4,11680,874,4.5,100,730,268,22.3,6.3,2.2,10950,839,4.7,93.8,1.6,2282,352,9.4,100,636,191,18.3,27.9,7.2,1646,333,12.3,72.1,9.5
