puma,access_households_count,access_households_count_moe,access_households_count_cv,access_households_pct,access_households_pct_moe,access_computer_count,access_computer_count_moe,access_computer_count_cv,access_computer_pct,access_computer_pct_moe,access_broadband_count,access_broadband_count_moe,access_broadband_count_cv,access_broadband_pct,access_broadband_pct_moe,access_households_anh_count,access_households_anh_count_moe,access_households_anh_count_cv,access_households_anh_pct,access_households_anh_pct_moe,access_households_bnh_count,access_households_bnh_count_moe,access_households_bnh_count_cv,access_households_bnh_pct,access_households_bnh_pct_moe,access_households_hsp_count,access_households_hsp_count_moe,access_households_hsp_count_cv,access_households_hsp_pct,access_households_hsp_pct_moe,access_households_wnh_count,access_households_wnh_count_moe,access_households_wnh_count_cv,access_households_wnh_pct,access_households_wnh_pct_moe,access_computer_anh_count,access_computer_anh_count_moe,access_computer_anh_count_cv,access_computer_anh_pct,access_computer_anh_pct_moe,access_computer_bnh_count,access_computer_bnh_count_moe,access_computer_bnh_count_cv,access_computer_bnh_pct,access_computer_bnh_pct_moe,access_computer_hsp_count,access_computer_hsp_count_moe,access_computer_hsp_count_cv,access_computer_hsp_pct,access_computer_hsp_pct_moe,access_computer_wnh_count,access_computer_wnh_count_moe,access_computer_wnh_count_cv,access_computer_wnh_pct,access_computer_wnh_pct_moe,access_broadband_anh_count,access_broadband_anh_count_moe,access_broadband_anh_count_cv,access_broadband_anh_pct,access_broadband_anh_pct_moe,access_broadband_bnh_count,access_broadband_bnh_count_moe,access_broadband_bnh_count_cv,access_broadband_bnh_pct,access_broadband_bnh_pct_moe,access_broadband_hsp_count,access_broadband_hsp_count_moe,access_broadband_hsp_count_cv,access_broadband_hsp_pct,access_broadband_hsp_pct_moe,access_broadband_wnh_count,access_broadband_wnh_count_moe,access_broadband_wnh_count_cv,access_broadband_wnh_pct,access_broadband_wnh_pct_moe
03701,42884,645,0.9,100,,32356,1042,2.0,75.5,2.1,31375,934,1.8,73.2,1.9,1562,262,10.2,100,,5623,627,6.8,100,,18744,865,2.8,100,,16042,695,2.6,100,,1451,256,10.7,92.9,5.1,4224,569,8.2,75.1,5.7,12880,845,4.0,68.7,3.2,13088,678,3.2,81.6,2.3,1289,236,11.1,82.5,6.0,4192,529,7.7,74.6,4.4,13123,826,3.8,70.0,3.0,12116,628,3.1,75.5,2.1
03702,50543,607,0.7,100,,34462,1107,2.0,68.2,2.0,30243,1052,2.1,59.8,2.0,1190,256,13.1,100,,31969,1037,2.0,100,,11785,1009,5.2,100,,4235,422,6.1,100,,943,278,17.9,79.2,16.0,22609,1000,2.7,70.7,2.1,7268,805,6.7,61.7,4.3,2875,371,7.8,67.9,5.6,885,240,16.5,74.4,12.2,18529,1042,3.4,58.0,2.7,7200,763,6.4,61.1,3.8,2723,341,7.6,64.3,4.9
03703,47805,548,0.7,100,,35327,1193,2.1,73.9,2.3,31664,1347,2.6,66.2,2.7,1295,347,16.3,100,,14340,1242,5.3,100,,17016,1200,4.3,100,,14359,783,3.3,100,,982,278,17.2,75.8,6.9,10751,1100,6.2,75.0,4.1,12576,1020,4.9,73.9,3.0,10303,740,4.4,71.8,3.4,869,275,19.3,67.1,11.4,9080,1128,7.5,63.3,5.6,11492,1212,6.4,67.5,5.3,9533,724,4.6,66.4,3.5
03704,44700,549,0.7,100,,32015,1035,2.0,71.6,2.1,27221,918,2.1,60.9,1.9,3228,366,6.9,100,,10135,791,4.7,100,,20041,991,3.0,100,,10422,597,3.5,100,,2930,340,7.1,90.8,2.3,7812,776,6.0,77.1,4.7,13784,1071,4.7,68.8,4.1,6840,424,3.8,65.6,1.6,2389,322,8.2,74.0,5.4,6212,648,6.3,61.3,4.2,11993,929,4.7,59.8,3.6,6153,508,5.0,59.0,3.5
03705,58786,548,0.6,100,,32119,1094,2.1,54.6,1.8,34073,1343,2.4,58.0,2.2,564,225,24.2,100,,20379,889,2.7,100,,35226,947,1.6,100,,1908,334,10.6,100,,324,184,34.5,57.4,23.2,11657,757,3.9,57.2,2.8,18728,1034,3.4,53.2,2.6,1028,263,15.6,53.9,10.1,310,177,34.6,55.0,22.4,11810,998,5.1,58.0,4.2,20483,942,2.8,58.1,2.2,1143,261,13.9,59.9,8.8
03706,45345,511,0.7,100,,27659,1011,2.2,61.0,2.1,27514,1068,2.4,60.7,2.3,1979,395,12.1,100,,7761,865,6.8,100,,31364,1089,2.1,100,,3228,588,11.1,100,,1528,356,14.2,77.2,9.3,5106,681,8.1,65.8,4.8,18081,1075,3.6,57.6,2.8,2192,472,13.1,67.9,7.8,1565,368,14.3,79.1,9.8,4430,628,8.6,57.1,5.0,18915,933,3.0,60.3,2.1,1970,431,13.3,61.0,7.4
03707,46430,438,0.6,100,,26392,953,2.2,56.8,2.0,26839,1066,2.4,57.8,2.2,617,166,16.3,100,,13829,856,3.8,100,,30780,871,1.7,100,,614,183,18.1,100,,400,169,25.7,64.8,21.1,7947,745,5.7,57.5,4.0,17379,894,3.1,56.5,2.4,368,139,22.9,59.9,13.9,428,143,20.4,69.4,13.9,7900,672,5.2,57.1,3.3,17878,1092,3.7,58.1,3.1,277,106,23.2,45.1,10.8
03708,49786,502,0.6,100,,29710,1302,2.7,59.7,2.5,29266,1171,2.4,58.8,2.3,716,229,19.4,100,,16000,856,3.3,100,,30874,997,2.0,100,,1260,301,14.5,100,,635,213,20.4,88.7,9.0,9977,948,5.8,62.4,4.9,17710,1183,4.1,57.4,3.4,944,263,17.0,74.9,10.8,567,200,21.5,79.2,12.0,9194,825,5.5,57.5,4.1,18178,1063,3.6,58.9,2.9,748,227,18.4,59.4,11.1
03709,65226,610,0.6,100,,42994,1141,1.6,65.9,1.6,41817,1275,1.9,64.1,1.9,3707,371,6.1,100,,21084,969,2.8,100,,36893,1299,2.1,100,,2078,333,9.7,100,,3057,358,7.1,82.5,5.0,14127,927,4.0,67.0,3.1,23323,1062,2.8,63.2,1.8,1408,266,11.5,67.8,6.8,2781,382,8.3,75.0,7.0,14093,969,4.2,66.8,3.4,22960,1226,3.2,62.2,2.5,1178,252,13.0,56.7,8.1
03710,52325,544,0.6,100,,28731,1071,2.3,54.9,2.0,29526,1112,2.3,56.4,2.0,246,122,30.1,100,,14353,801,3.4,100,,35980,867,1.5,100,,1151,338,17.9,100,,226,114,30.6,91.9,8.8,8325,671,4.9,58.0,3.4,18904,989,3.2,52.5,2.4,874,275,19.1,75.9,8.5,162,83,31.3,65.9,9.5,8096,714,5.4,56.4,3.8,20188,1003,3.0,56.1,2.4,827,328,24.1,71.9,19.2
03801,76660,1023,0.8,100,,54009,1282,1.4,70.5,1.4,53459,1410,1.6,69.7,1.6,2615,460,10.7,100,,6835,809,7.2,100,,45463,1664,2.2,100,,20225,1002,3.0,100,,2364,454,11.7,90.4,7.0,4788,667,8.5,70.1,5.1,27618,1351,3.0,60.7,2.0,17994,1039,3.5,89.0,2.6,2100,417,12.1,80.3,7.4,4464,613,8.3,65.3,4.5,28755,1530,3.2,63.2,2.4,16811,945,3.4,83.1,2.2
03802,47502,738,0.9,100,,35948,1167,2.0,75.7,2.2,34969,1033,1.8,73.6,1.9,3489,661,11.5,100,,10509,928,5.4,100,,17071,1157,4.1,100,,14855,755,3.1,100,,3375,630,11.3,96.7,25.7,6722,878,7.9,64.0,6.2,10568,1107,6.4,61.9,4.9,13987,715,3.1,94.2,0.5,3128,607,11.8,89.7,3.7,6698,841,7.6,63.7,5.7,10939,1052,5.8,64.1,4.4,13149,703,3.2,88.5,1.5
03803,56578,921,1.0,100,,39893,1310,2.0,70.5,2.0,39517,1247,1.9,69.8,1.9,2282,352,9.4,100,,31531,1099,2.1,100,,11680,874,4.5,100,,9495,655,4.2,100,,1693,348,12.5,74.2,10.1,20307,1068,3.2,64.4,2.5,7429,933,7.6,63.6,6.4,9179,648,4.3,96.7,1.4,1545,332,13.1,67.7,10.1,20317,1105,3.3,64.4,2.7,7948,760,5.8,68.0,4.0,8456,693,5.0,89.1,3.9
03804,49840,663,0.8,100,,32181,1139,2.2,64.6,2.1,30259,1161,2.3,60.7,2.2,3543,473,8.1,100,,15762,992,3.8,100,,21344,933,2.7,100,,8321,627,4.6,100,,2868,489,10.4,80.9,8.6,9772,763,4.7,62.0,2.9,11310,978,5.3,53.0,4.0,7450,591,4.8,89.5,2.2,2775,424,9.3,78.3,5.8,8925,811,5.5,56.6,3.7,11307,912,4.9,53.0,3.6,6558,568,5.3,78.8,3.4
03805,110566,1642,0.9,100,,102276,1832,1.1,92.5,0.9,94603,1947,1.3,85.6,1.2,10762,1160,6.5,100,,1994,483,14.7,100,,9210,1132,7.5,100,,86627,1853,1.3,100,,10336,1188,7.0,96.0,3.8,1481,422,17.3,74.3,11.2,7928,1062,8.1,86.1,4.6,80568,1784,1.3,93.0,0.5,9850,1141,7.0,91.5,3.9,1386,426,18.7,69.5,13.1,7326,994,8.2,79.5,4.6,74293,1835,1.5,85.8,1.1
03806,98098,1541,1.0,100,,86714,2067,1.4,88.4,1.6,81445,2292,1.7,83.0,1.9,8830,928,6.4,100,,4999,783,9.5,100,,12053,1325,6.7,100,,69885,1784,1.6,100,,8244,932,6.9,93.4,3.9,3342,690,12.5,66.9,9.0,8294,1240,9.1,68.8,7.0,64888,1967,1.8,92.8,1.5,7673,896,7.1,86.9,4.4,2915,582,12.1,58.3,7.2,7936,1272,9.7,65.8,7.7,60928,1950,1.9,87.2,1.7
03807,90579,1282,0.9,100,,80099,1564,1.2,88.4,1.2,74691,1729,1.4,82.5,1.5,14005,1027,4.5,100,,3968,874,13.4,100,,12225,1292,6.4,100,,58136,1535,1.6,100,,12943,1068,5.0,92.4,3.5,2916,838,17.5,73.5,13.6,9060,1167,7.8,74.1,5.4,53321,1544,1.8,91.7,1.1,12073,1032,5.2,86.2,3.8,2661,766,17.5,67.1,12.4,7957,1224,9.4,65.1,7.3,50196,1584,1.9,86.3,1.5
03808,79855,1325,1.0,100,,72750,1807,1.5,91.1,1.7,68568,1856,1.6,85.9,1.8,12047,1072,5.4,100,,2627,935,21.6,100,,5871,920,9.5,100,,57719,1963,2.1,100,,11259,1057,5.7,93.5,2.8,2034,830,24.8,77.4,15.5,5139,874,10.3,87.5,5.8,52866,1999,2.3,91.6,1.5,10557,954,5.5,87.6,1.4,1860,752,24.6,70.8,13.6,4774,869,11.1,81.3,7.6,50029,1947,2.4,86.7,1.6
03809,72024,914,0.8,100,,52623,1498,1.7,73.1,1.9,40689,1607,2.4,56.5,2.1,20482,1057,3.1,100,,5630,1023,11.0,100,,15223,1051,4.2,100,,29064,1099,2.3,100,,11602,1014,5.3,56.6,4.0,3908,843,13.1,69.4,8.1,9519,804,5.1,62.5,3.0,26375,1138,2.6,90.7,1.9,10360,1004,5.9,50.6,4.2,2119,586,16.8,37.6,7.8,6578,700,6.5,43.2,3.5,20662,1138,3.3,71.1,2.8
03810,77759,1351,1.1,100,,72443,1494,1.3,93.2,1.0,66924,1640,1.5,86.1,1.5,11065,962,5.3,100,,1283,425,20.1,100,,4982,723,8.8,100,,58330,1435,1.5,100,,9451,940,6.0,85.4,4.1,1169,415,21.6,91.1,11.7,4581,685,9.1,92.0,3.3,55318,1486,1.6,94.8,1.0,8990,932,6.3,81.2,4.6,930,400,26.1,72.5,19.9,4067,657,9.8,81.6,5.8,51329,1431,1.7,88.0,1.2
03901,58263,640,0.7,100,,50068,837,1.0,85.9,1.1,45371,1122,1.5,77.9,1.7,2571,340,8.0,100,,448,208,28.3,100,,4794,540,6.8,100,,49904,778,0.9,100,,2241,347,9.4,87.2,7.0,409,204,30.3,91.3,16.5,3796,538,8.6,79.2,6.8,43189,929,1.3,86.5,1.3,2152,372,10.5,83.7,9.3,352,186,32.1,78.6,19.6,3726,520,8.5,77.7,6.4,38698,962,1.5,77.5,1.5
03902,47287,598,0.8,100,,38786,873,1.4,82.0,1.5,36439,964,1.6,77.1,1.8,5784,426,4.5,100,,1771,325,11.2,100,,5715,626,6.7,100,,33516,801,1.5,100,,5290,427,4.9,91.5,3.0,1302,262,12.2,73.5,6.0,4800,642,8.1,84.0,6.4,26999,927,2.1,80.6,2.0,4877,372,4.6,84.3,1.6,1378,327,14.4,77.8,11.7,4189,635,9.2,73.3,7.7,25645,977,2.3,76.5,2.3
03903,60694,861,0.9,100,,43839,1305,1.8,72.2,1.9,40042,1342,2.0,66.0,2.0,4616,459,6.0,100,,13112,667,3.1,100,,14681,821,3.4,100,,27272,801,1.8,100,,3817,454,7.2,82.7,5.4,8122,647,4.8,61.9,3.8,9297,754,4.9,63.3,3.7,21715,882,2.5,79.6,2.2,3494,371,6.4,75.7,2.8,6864,666,5.9,52.3,4.3,8504,706,5.0,57.9,3.6,20351,885,2.6,74.6,2.4
04001,66286,779,0.7,100,,50045,1114,1.4,75.5,1.4,44666,1088,1.5,67.4,1.4,4803,464,5.9,100,,2326,469,12.3,100,,15028,920,3.7,100,,42410,1025,1.5,100,,4246,445,6.4,88.4,3.6,1360,362,16.2,58.5,10.2,10308,818,4.8,68.6,3.5,32587,1089,2.0,76.8,1.8,3771,428,6.9,78.5,4.7,1325,364,16.7,57.0,10.6,9279,755,4.9,61.7,3.3,28858,1001,2.1,68.0,1.7
04002,47115,587,0.8,100,,34243,1058,1.9,72.7,2.1,29534,1096,2.3,62.7,2.2,2719,434,9.7,100,,8275,798,5.9,100,,23887,965,2.5,100,,11000,628,3.5,100,,2336,371,9.6,85.9,19.3,5490,704,7.8,66.3,5.6,15227,974,3.9,63.7,3.2,10262,592,3.5,93.3,0.8,1893,368,11.8,69.6,7.7,4944,741,9.1,59.7,6.8,12705,850,4.1,53.2,2.8,9099,560,3.7,82.7,1.9
04003,54493,694,0.8,100,,39762,1152,1.8,73.0,1.9,34414,1271,2.2,63.2,2.2,1610,335,12.6,100,,28285,952,2.0,100,,9717,756,4.7,100,,13339,694,3.2,100,,1441,331,14.0,89.5,8.7,19954,1047,3.2,70.5,2.8,6166,549,5.4,63.5,2.7,10885,658,3.7,81.6,2.5,1337,310,14.1,83.0,8.5,16505,1046,3.9,58.4,3.1,5604,547,5.9,57.7,3.4,9901,681,4.2,74.2,3.3
04004,61995,677,0.7,100,,52172,767,0.9,84.2,0.8,49855,1041,1.3,80.4,1.4,5831,526,5.5,100,,15697,893,3.5,100,,7442,764,6.2,100,,31224,972,1.9,100,,5343,480,5.5,91.6,11.7,10228,783,4.7,65.2,3.3,5204,692,8.1,69.9,5.9,29796,992,2.0,95.4,1.1,5086,500,6.0,87.2,3.4,10205,854,5.1,65.0,4.0,5029,684,8.3,67.6,6.0,27942,961,2.1,89.5,1.3
04005,48927,737,0.9,100,,43789,808,1.1,89.5,1.0,41468,836,1.2,84.8,1.1,3675,499,8.3,100,,3658,566,9.4,100,,6466,594,5.6,100,,33707,819,1.5,100,,3274,464,8.6,89.1,3.6,2480,484,11.9,67.8,8.1,4714,570,7.3,72.9,5.7,32016,825,1.6,95.0,0.8,3053,446,8.9,83.1,4.5,2390,472,12.0,65.3,8.0,4325,592,8.3,66.9,6.8,30542,865,1.7,90.6,1.3
04006,55801,687,0.7,100,,43418,1248,1.7,77.8,2.0,39738,1189,1.8,71.2,1.9,1980,354,10.9,100,,30996,861,1.7,100,,6034,685,6.9,100,,14887,763,3.1,100,,1737,309,10.8,87.7,22.1,21484,1095,3.1,69.3,3.0,4511,554,7.5,74.8,3.5,14011,754,3.3,94.1,1.6,1494,291,11.8,75.5,5.8,19693,1107,3.4,63.5,3.1,3915,502,7.8,64.9,3.9,13059,693,3.2,87.7,1.2
04007,46415,657,0.9,100,,29159,1037,2.2,62.8,2.0,28439,896,1.9,61.3,1.7,391,148,22.9,100,,34225,969,1.7,100,,9534,784,5.0,100,,1380,254,11.2,100,,274,110,24.5,70.1,9.8,21685,885,2.5,63.4,1.9,5530,632,6.9,58.0,4.6,1100,222,12.3,79.7,6.5,216,97,27.3,55.2,13.4,21570,986,2.8,63.0,2.3,5047,564,6.8,52.9,4.0,1021,214,12.8,74.0,7.4
04008,57011,642,0.7,100,,41781,1177,1.7,73.3,1.9,39340,1081,1.7,69.0,1.7,1759,297,10.3,100,,32132,1121,2.1,100,,18876,918,3.0,100,,3068,372,7.4,100,,1377,248,11.0,78.3,5.0,23429,1145,3.0,72.9,2.5,14557,828,3.5,77.1,2.3,1623,301,11.3,52.9,7.4,1357,229,10.2,77.1,18.4,22946,1180,3.1,71.4,2.7,12763,884,4.2,67.6,3.3,1517,263,10.5,49.4,6.1
04009,68788,606,0.5,100,,55811,968,1.1,81.1,1.2,53591,957,1.1,77.9,1.2,2883,315,6.6,100,,42352,853,1.2,100,,5551,557,6.1,100,,16899,692,2.5,100,,2595,311,7.3,90.0,4.4,34736,1051,1.8,82.0,1.9,3974,440,6.7,71.6,3.4,13650,673,3.0,80.8,2.2,2390,292,7.4,82.9,4.5,33684,1000,1.8,79.5,1.7,3944,475,7.3,71.1,4.7,12678,674,3.2,75.0,2.5
04010,49809,605,0.7,100,,36982,844,1.4,74.2,1.4,34378,989,1.7,69.0,1.8,501,169,20.5,100,,43108,726,1.0,100,,3644,567,9.5,100,,1423,262,11.2,100,,400,151,23.0,79.8,13.6,31914,845,1.6,74.0,1.5,2654,467,10.7,72.8,6.0,1129,230,12.4,79.3,7.0,390,146,22.7,77.8,12.5,29945,968,2.0,69.5,1.9,2438,438,10.9,66.9,6.0,918,226,15.0,64.5,10.6
04011,42809,573,0.8,100,,31117,1034,2.0,72.7,2.2,28715,955,2.0,67.1,2.0,1071,233,13.2,100,,27148,862,1.9,100,,3789,556,8.9,100,,9608,612,3.9,100,,884,226,15.5,82.5,11.1,18006,993,3.4,66.3,3.0,2432,407,10.2,64.2,5.2,8785,617,4.3,91.4,2.7,922,222,14.7,86.1,9.0,16365,945,3.5,60.3,2.9,2559,465,11.0,67.5,7.2,7942,659,5.0,82.7,4.4
04012,44399,544,0.7,100,,32390,942,1.8,73.0,1.9,30730,915,1.8,69.2,1.9,11819,558,2.9,100,,1344,334,15.1,100,,15731,693,2.7,100,,14586,617,2.6,100,,8985,572,3.9,76.0,3.2,1001,302,18.3,74.5,12.7,9506,659,4.2,60.4,3.2,12034,686,3.5,82.5,3.1,8885,516,3.5,75.2,2.5,1006,294,17.7,74.9,11.4,8904,702,4.8,56.6,3.7,11128,650,3.5,76.3,3.1
04013,47718,553,0.7,100,,38290,728,1.2,80.2,1.2,35176,845,1.5,73.7,1.6,8520,489,3.5,100,,1093,243,13.5,100,,7116,577,4.9,100,,29895,700,1.4,100,,7407,451,3.7,86.9,1.8,950,232,14.8,86.9,8.6,5309,531,6.1,74.6,4.4,23743,749,1.9,79.4,1.7,6995,473,4.1,82.1,2.9,881,192,13.2,80.6,25.1,4871,594,7.4,68.5,6.2,21614,772,2.2,72.3,2.0
04014,44133,530,0.7,100,,29261,809,1.7,66.3,1.7,24219,815,2.0,54.9,1.7,5946,488,5.0,100,,1293,335,15.8,100,,4994,487,5.9,100,,31012,711,1.4,100,,4971,455,5.6,83.6,3.4,1016,266,15.9,78.6,2.9,3262,478,8.9,65.3,7.2,19318,782,2.5,62.3,2.1,4627,447,5.9,77.8,4.0,930,245,16.0,71.9,3.3,3035,480,9.6,60.8,7.6,15062,792,3.2,48.6,2.3
04015,57254,598,0.6,100,,43198,1095,1.5,75.4,1.7,38630,1197,1.9,67.5,2.0,4376,507,7.0,100,,18246,729,2.4,100,,7811,803,6.3,100,,25178,913,2.2,100,,3472,464,8.1,79.3,5.3,13177,744,3.4,72.2,2.9,5212,676,7.9,66.7,5.3,20150,825,2.5,80.0,1.5,3094,449,8.8,70.7,6.2,11891,653,3.3,65.2,2.5,4960,623,7.6,63.5,4.6,17613,857,3.0,70.0,2.3
04016,55971,620,0.7,100,,44809,846,1.1,80.1,1.2,42618,965,1.4,76.1,1.5,7812,532,4.1,100,,2260,401,10.8,100,,4354,519,7.2,100,,40382,908,1.4,100,,6994,507,4.4,89.5,2.2,1871,341,11.1,82.8,3.4,3404,449,8.0,78.2,4.4,31520,935,1.8,78.1,1.5,6543,512,4.8,83.8,3.2,1709,365,13.0,75.6,9.0,3284,425,7.9,75.4,3.8,30119,1011,2.0,74.6,1.9
04017,63678,585,0.6,100,,48477,833,1.0,76.1,1.1,46222,874,1.1,72.6,1.2,21929,788,2.2,100,,723,200,16.8,100,,8518,728,5.2,100,,30844,811,1.6,100,,18793,720,2.3,85.7,1.1,575,182,19.3,79.5,12.4,6331,632,6.1,74.3,3.8,21452,832,2.4,69.5,2.0,17565,706,2.4,80.1,1.4,573,191,20.3,79.3,14.8,5946,666,6.8,69.8,5.1,20809,808,2.4,67.5,1.9
04018,45962,554,0.7,100,,30918,984,1.9,67.3,2.0,29848,910,1.9,64.9,1.8,4589,469,6.2,100,,4838,596,7.5,100,,5507,640,7.1,100,,29903,886,1.8,100,,3620,458,7.7,78.9,5.9,2931,521,10.8,60.6,7.7,3315,459,8.4,60.2,4.5,20350,993,3.0,68.1,2.6,3615,474,8.0,78.8,6.4,2669,546,12.4,55.2,9.0,3428,487,8.6,62.2,5.1,19286,864,2.7,64.5,2.2
04101,71009,1022,0.9,100,,57049,1268,1.4,80.3,1.4,54781,1177,1.3,77.1,1.2,9800,744,4.6,100,,4554,475,6.3,100,,15327,716,2.8,100,,39652,1079,1.7,100,,8481,659,4.7,86.5,1.4,2885,379,8.0,63.4,5.0,10916,723,4.0,71.2,3.3,33250,1069,2.0,83.9,1.4,8089,657,4.9,82.5,2.4,2799,417,9.1,61.5,6.5,10552,741,4.3,68.8,3.6,31896,1011,1.9,80.4,1.3
04102,52441,802,0.9,100,,37170,1148,1.9,70.9,1.9,37274,1137,1.9,71.1,1.9,9309,650,4.2,100,,3312,402,7.4,100,,31016,1112,2.2,100,,8139,616,4.6,100,,6768,632,5.7,72.7,4.5,2375,356,9.1,71.7,6.3,20982,1160,3.4,67.6,2.8,6572,535,4.9,80.7,2.4,6615,557,5.1,71.1,3.3,2295,367,9.7,69.3,7.2,21754,1242,3.5,70.1,3.1,6056,526,5.3,74.4,3.2
04103,86782,858,0.6,100,,61239,1477,1.5,70.6,1.6,51669,1287,1.5,59.5,1.4,43983,1135,1.6,100,,1643,297,11.0,100,,12790,1012,4.8,100,,26860,990,2.2,100,,30516,1340,2.7,69.4,2.5,987,240,14.8,60.1,9.8,9017,967,6.5,70.5,5.1,19512,869,2.7,72.6,1.8,24172,1219,3.1,55.0,2.4,919,241,15.9,55.9,10.6,7329,820,6.8,57.3,4.5,18126,834,2.8,67.5,1.9
04104,43388,453,0.6,100,,36638,802,1.3,84.4,1.6,33867,814,1.5,78.1,1.7,16531,585,2.1,100,,1073,252,14.3,100,,4284,548,7.8,100,,20763,723,2.1,100,,14855,627,2.6,89.9,2.1,956,244,15.5,89.1,8.9,3610,557,9.4,84.3,7.3,16613,700,2.6,80.0,1.9,13816,646,2.8,83.6,2.6,742,241,19.8,69.2,15.6,3369,544,9.8,78.6,7.8,15344,734,2.9,73.9,2.4
04105,61092,676,0.7,100,,50146,807,1.0,82.1,1.0,43562,923,1.3,71.3,1.3,8302,524,3.8,100,,32613,962,1.8,100,,6663,574,5.2,100,,9986,691,4.2,100,,7499,493,4.0,90.3,1.7,26654,964,2.2,81.7,1.7,5785,607,6.4,86.8,5.2,7242,682,5.7,72.5,4.6,6837,490,4.4,82.4,2.8,21798,964,2.7,66.8,2.2,5300,539,6.2,79.5,4.3,6997,680,5.9,70.1,4.8
04106,55492,522,0.6,100,,46036,938,1.2,83.0,1.5,41627,1074,1.6,75.0,1.8,16253,1035,3.9,100,,8194,840,6.2,100,,10601,985,5.7,100,,17813,858,2.9,100,,14140,997,4.3,87.0,2.6,6721,807,7.3,82.0,5.1,8456,915,6.6,79.8,4.4,14693,864,3.6,82.5,2.8,12751,939,4.5,78.5,2.9,6131,702,7.0,74.8,3.8,7320,777,6.5,69.1,3.5,13570,868,3.9,76.2,3.2
04107,42764,666,0.9,100,,30644,1042,2.1,71.7,2.2,27639,999,2.2,64.6,2.1,14427,870,3.7,100,,2797,490,10.7,100,,20913,923,2.7,100,,3695,517,8.5,100,,11969,733,3.7,83.0,0.9,2071,432,12.7,74.0,8.4,13404,967,4.4,64.1,3.7,2477,412,10.1,67.0,6.1,10755,725,4.1,74.5,2.2,1591,384,14.7,56.9,9.4,12374,956,4.7,59.2,3.8,2283,414,11.0,61.8,7.1
04108,51831,584,0.7,100,,43028,892,1.3,83.0,1.4,39250,992,1.5,75.7,1.7,14161,839,3.6,100,,1500,347,14.1,100,,7226,691,5.8,100,,27409,886,2.0,100,,12923,779,3.7,91.3,1.0,1311,323,15.0,87.4,7.3,5922,632,6.5,82.0,3.9,21540,1061,3.0,78.6,2.9,11596,827,4.3,81.9,3.3,1166,318,16.6,77.7,11.2,5443,607,6.8,75.3,4.3,19836,982,3.0,72.4,2.7
04109,53751,803,0.9,100,,40674,1021,1.5,75.7,1.5,42063,983,1.4,78.3,1.4,16521,810,3.0,100,,1089,275,15.3,100,,14950,980,4.0,100,,19920,1025,3.1,100,,12559,863,4.2,76.0,3.7,945,276,17.8,86.8,12.8,10001,802,4.9,66.9,3.1,16171,903,3.4,81.2,1.8,12955,827,3.9,78.4,3.2,994,257,15.7,91.3,5.1,11145,819,4.5,74.5,2.5,15954,957,3.6,80.1,2.5
04110,62374,639,0.6,100,,49306,1045,1.3,79.0,1.5,47315,1016,1.3,75.9,1.4,4625,423,5.6,100,,922,229,15.1,100,,19167,915,2.9,100,,36868,887,1.5,100,,4233,425,6.1,91.5,3.7,824,204,15.0,89.4,31.3,14940,847,3.4,77.9,2.4,28721,821,1.7,77.9,1.2,4084,406,6.0,88.3,3.4,739,217,17.8,80.2,12.5,14357,903,3.8,74.9,3.1,27575,846,1.9,74.8,1.4
04111,43844,598,0.8,100,,34588,854,1.5,78.9,1.6,32895,886,1.6,75.0,1.7,10125,522,3.1,100,,2850,355,7.6,100,,16744,775,2.8,100,,11012,511,2.8,100,,8493,577,4.1,83.9,3.7,2401,321,8.1,84.2,4.1,13082,732,3.4,78.1,2.4,8152,403,3.0,74.0,1.2,8052,509,3.8,79.5,2.9,2210,355,9.8,77.5,7.9,12799,767,3.6,76.4,2.9,7387,414,3.4,67.1,2.1
04112,72300,913,0.8,100,,55981,990,1.1,77.4,1.0,44280,1311,1.8,61.2,1.6,8368,707,5.1,100,,47783,933,1.2,100,,10158,716,4.3,100,,1303,301,14.1,100,,7306,657,5.5,87.3,2.7,36052,995,1.7,75.4,1.5,7793,615,4.8,76.7,2.7,1023,258,15.3,78.5,7.9,6187,611,6.0,73.9,3.8,27547,1139,2.5,57.7,2.1,6628,587,5.4,65.2,3.5,859,242,17.2,65.9,10.7
04113,39105,607,0.9,100,,32159,740,1.4,82.2,1.4,30160,835,1.7,77.1,1.8,8231,530,3.9,100,,5541,478,5.2,100,,8936,636,4.3,100,,11991,683,3.5,100,,7124,495,4.2,86.6,2.2,4420,433,6.0,79.8,3.7,7473,573,4.7,83.6,2.4,9680,654,4.1,80.7,2.9,6698,429,3.9,81.4,7.4,4250,429,6.1,76.7,4.0,7195,578,4.9,80.5,3.0,8951,659,4.5,74.6,3.5
04114,42788,526,0.7,100,,31065,1053,2.1,72.6,2.3,28924,1086,2.3,67.6,2.4,1390,350,15.3,100,,15388,886,3.5,100,,9470,888,5.7,100,,15950,795,3.0,100,,1149,297,15.7,82.7,4.9,11013,805,4.4,71.6,3.2,6002,781,7.9,63.4,5.7,12407,751,3.7,77.8,2.7,1092,302,16.8,78.6,8.9,10745,778,4.4,69.8,3.1,5745,719,7.6,60.7,5.0,10978,712,3.9,68.8,2.9
